Accession,PMID,Gene,Subtype,NumAAChanges,NumInsertions,NumDeletions,NumStopCodons,NumApobecs,NumUnusuals,NumFrameShifts
AB078678,12131217,gag,08_BC,74,1,10,0,0,0,1
AB078679,12131217,gag,08_BC,75,1,10,0,0,0,1
AB078680,12131217,gag,08_BC,70,1,10,0,0,0,1
AB078681,12131217,gag,07_BC,67,1,5,0,0,1,1
AB078682,12131217,gag,08_BC,71,1,10,0,0,0,1
AB078683,12131217,gag,08_BC,77,1,10,0,0,1,1
AB078684,12131217,gag,08_BC,72,1,10,0,0,0,1
AB078685,12131217,gag,08_BC,80,0,14,2,0,7,3
AB078686,12131217,gag,08_BC,74,1,10,0,0,1,1
AB078687,12131217,gag,08_BC,71,1,10,0,0,0,1
AB078688,12131217,gag,BC,73,1,10,0,0,0,1
AB078689,12131217,gag,08_BC,74,1,10,0,0,0,1
AB078690,12131217,gag,08_BC,72,1,10,1,0,2,3
AB078691,12131217,gag,BC,78,1,10,0,0,0,1
AB078692,12131217,gag,08_BC,74,1,10,0,0,1,1
AB078693,12131217,gag,08_BC,70,1,10,0,0,1,1
AB078694,12131217,gag,07_BC,69,1,6,0,0,0,1
AB078695,12131217,gag,08_BC,78,1,10,0,0,1,1
AB078696,12131217,gag,08_BC,74,0,10,0,0,0,1
AB078697,12131217,gag,08_BC,75,1,10,0,0,1,1
AB078698,12131217,gag,08_BC,74,1,10,0,0,0,1
AB078699,12131217,gag,08_BC,73,1,10,0,0,0,1
AB078700,12131217,gag,08_BC,82,1,10,0,0,0,1
AB078701,12131217,gag,08_BC,75,1,10,0,0,0,1
AB078702,12131217,gag,08_BC,72,1,10,0,0,0,1
AB078703,12131217,gag,B,25,0,0,0,0,1,1
AB078704,12131217,gag,B,25,0,0,0,0,1,0
AB078705,12131217,gag,BC,65,1,12,0,0,0,1
AB078706,12131217,gag,01B,36,0,0,0,0,3,2
AB078707,12131217,gag,BC,43,0,4,0,0,5,1
AB078708,12131217,gag,BC,25,1,1,0,0,0,1
